,구청명,월강수량
0,용산구,0.4285
1,도봉구,0.19740000000000002
2,동대문구,1.3492000000000002
3,서초구,0.43950000000000006
4,성북구,0.46019999999999994
5,서대문구,0.35135000000000005
6,영등포구,0.5703000000000001
7,금천구,1.2477
8,마포구,0.47775000000000006
9,양천구,0.5373000000000001
10,강서구,1.3488000000000002
11,광진구,0.19805
12,송파구,0.14940000000000003
13,동작구,0.58345
14,중랑구,0.32885000000000003
15,노원구,0.3118
16,은평구,0.6754500000000001
17,중구,0.4442000000000001
18,성동구,0.53785
19,구로구,0.6250000000000001
20,관악구,0.6147
21,강동구,0.3068
22,강북구,0.28455
23,강남구,0.5149000000000001
24,종로구,0.5104000000000001
