,구청명,월강수량
0,용산구,23.057600000000004
1,도봉구,11.3111
2,동대문구,24.88145
3,서초구,26.381050000000002
4,성북구,21.990249999999996
5,서대문구,11.21575
6,영등포구,22.747250000000005
7,마포구,19.711999999999996
8,금천구,25.567600000000002
9,양천구,21.0589
10,강서구,19.763049999999996
11,광진구,12.34615
12,송파구,28.55845
13,동작구,20.384249999999998
14,중랑구,22.28825
15,노원구,21.038349999999998
16,은평구,32.6768
17,중구,25.51555
18,성동구,23.854799999999997
19,구로구,25.38415
20,관악구,25.754200000000004
21,강동구,25.3565
22,강북구,9.818100000000001
23,강남구,40.20205
24,종로구,23.96895
