,구청명,월강수량
0,마포구,24.0
1,강남구,24.0
2,용산구,24.0
3,은평구,0.0
4,성동구,0.0
5,동작구,47.0
6,강서구,0.0
7,종로구,24.0
8,송파구,47.0
9,금천구,0.0
10,광진구,47.0
11,구로구,0.0
12,강동구,24.0
13,서대문구,0.0
14,동대문구,1076.0
15,관악구,0.0
16,중랑구,0.0
17,노원구,0.0
18,서초구,0.0
19,중구,47.0
20,강북구,24.0
21,도봉구,0.0
22,성북구,47.0
23,양천구,0.0
